task_fig2a.time/60,task_fig2a.MAPK_PP,task_fig2a.MAPK
82.95,263.3680588137701,14.457819248200174
83.1,259.91481894647325,16.50161569246919
83.25,256.3315828547299,18.69875000341196
83.4,252.6438344692565,21.031251573196343
83.55,248.8746059637844,23.48072441469474
83.7,245.04351560654223,26.029695377166092
83.85,241.16652569198834,28.662740780833463
84.0,237.25609105928527,31.3668678408079
84.15,233.32158678844766,34.131553679288224
84.3,229.36982139053518,36.94854385700698
84.45,225.40556406844135,39.811545371763806
84.6,221.431993932016,42.715893786783134
84.75,217.4510719758008,45.65824345735565
84.9,213.4638533165592,48.63628735864378
85.05,209.47075239420613,51.64849933284781
85.2,205.47177862072806,54.693891333207624
85.35,201.46676015995033,57.771773035289826
85.5,197.45555072839363,60.881522516564424
85.65,193.43820990329687,64.02238146719283
85.8,189.41513509356764,67.19330080665155
85.95,185.3871305243787,70.39285318083367
86.1,181.35539204481472,73.6192416794902
86.25,177.32144424133597,76.87036136064218
86.4,173.2870398001967,80.14390548716854
86.55,169.25405318883506,83.43748051563827
86.7,165.22438970513969,86.74870583500712
86.85,161.19991983255642,90.07528662940284
87.0,157.18244157274216,93.41505632342157
87.15,153.17366464375647,96.76599495475514
87.3,149.17521235832106,100.12622787825245
87.45,145.188636981939,103.49400948399499
87.6,141.21543952995899,106.8677019037293
87.75,137.25709291651808,110.24575000462934
87.9,133.3150672139955,113.62665408055751
88.05,129.39085535067517,117.0089422233018
88.2,125.48599779082723,120.39114392160599
88.35,121.6021062917627,123.77176486877438
88.5,117.74088785893849,127.14926175313194
88.65,113.90416939947197,130.5220164507141
88.8,110.09392310697079,133.88830952748802
88.95,106.31229292317774,137.2462926163499
89.1,102.56162285432924,140.59395873832275
89.25,98.84448793739652,143.92910957115635
89.4,95.16372845482739,147.24931883392455
89.55,91.52248794820946,150.5518909582149
89.7,87.92425573390476,153.8338139731599
89.85,84.37291460447149,157.0917054802024
90.0,80.87279460053675,160.32175021748932
90.15,77.42873361340382,163.51962768769516
90.3,74.04614542246331,166.68042833854793
90.45,70.73109591878955,169.79855633374098
90.6,67.49038807835113,172.86761687676616
90.75,64.33165603476347,175.88028592906446
