Time,C,F,P,m,gamma,nu,sigma,Brain
59.099999999999994,25.857368196251535,4.414027272286684,3.926545712318775,25.0,1.0,1.0,1.0,1.0
59.25,24.406795665938173,2.789123564427854,4.869941952899154,25.0,1.0,1.0,1.0,1.0
59.4,22.622578501698744,1.6279767079130871,5.991320358152787,25.0,1.0,1.0,1.0,1.0
59.55,20.59058490606412,0.9119718857441678,7.185047078820107,25.0,1.0,1.0,1.0,1.0
59.699999999999996,18.4697683215108,0.5322517420681743,8.292954935368458,25.0,1.0,1.0,1.0,1.0
59.849999999999994,16.41881090647819,0.35276352714209647,9.18010914024266,25.0,1.0,1.0,1.0,1.0
60.0,14.537017279216563,0.2723402822704578,9.785855268793295,25.0,1.0,1.0,1.0,1.0
60.15,12.861872400003035,0.23700994537919398,10.115163682137883,25.0,1.0,1.0,1.0,1.0
60.3,11.394504530993316,0.22314647459030487,10.205765697158693,25.0,1.0,1.0,1.0,1.0
60.449999999999996,10.1208609109686,0.22119862534422513,10.1040562277082,25.0,1.0,1.0,1.0,1.0
60.599999999999994,9.022326712092136,0.22730426676856597,9.854127720877013,25.0,1.0,1.0,1.0,1.0
60.75,8.079966667436366,0.23992407300870633,9.494201162834802,25.0,1.0,1.0,1.0,1.0
